DATETIMEUTC,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,VM_ID,day,weekday,hour,minute,hist_1D8H,hist_1D4H,hist_1D2H,hist_1D1H,hist_1D,hist_1D15m,hist_1D30m,hist_1D45m
3/15/17 17:15,645.6666667,321.6666667,45669,2582528,2582528,108,0,0,0,1,15,2,17,15,642.3333333,641.6666667,641,640.3333333,642.6666667,642.3333333,643,641
3/15/17 17:30,644.3333333,321,43805.33333,2582528,2582528,103.6666667,0,0,0,1,15,2,17,30,638.6666667,643.6666667,642.3333333,641,644.6666667,642.6666667,642.3333333,643
3/15/17 17:45,642.3333333,320.3333333,57785.66667,2582528,2582528,136.6666667,0,0,0,1,15,2,17,45,643,650.3333333,641,643,645.3333333,644.6666667,642.6666667,642.3333333
3/15/17 18:00,644.6666667,321.6666667,48466.33333,2582528,2582528,114.3333333,0,0,0,1,15,2,18,0,642.6666667,642.6666667,644.6666667,642.3333333,645.3333333,645.3333333,644.6666667,642.6666667
3/15/17 18:15,645.3333333,322,54058,2582528,2582528,127.6666667,0,0,0,1,15,2,18,15,643.3333333,640.6666667,640.3333333,642.6666667,643.6666667,645.3333333,645.3333333,644.6666667
3/15/17 18:30,643.6666667,321,32620.66667,2582528,2582528,77,0,0,0,1,15,2,18,30,640,640,641,644.6666667,643.6666667,643.6666667,645.3333333,645.3333333
3/15/17 18:45,646.6666667,322.6666667,50329.33333,2582528,2582528,119,0,0,0,1,15,2,18,45,642,641,643,645.3333333,643,643.6666667,643.6666667,645.3333333
3/15/17 19:00,645,321.3333333,68038,2582528,2582528,161,0,0,0,1,15,2,19,0,644.6666667,643.6666667,642.3333333,645.3333333,643.6666667,643,643.6666667,643.6666667
3/15/17 19:15,643.3333333,320.6666667,45669.66667,2582528,2582528,108,0,0,0,1,15,2,19,15,641.6666667,641,642.6666667,643.6666667,648.6666667,643.6666667,643,643.6666667
3/15/17 19:30,643.3333333,320.6666667,47532.66667,2582528,2582528,112.3333333,0,0,0,1,15,2,19,30,641.3333333,642.3333333,644.6666667,643.6666667,648,648.6666667,643.6666667,643
3/15/17 19:45,645,321.6666667,31688,2582528,2582528,74.33333333,0,0,0,1,15,2,19,45,643.6666667,641,645.3333333,643,643.6666667,648,648.6666667,643.6666667
3/15/17 20:00,643.3333333,320.6666667,41008.33333,2582528,2582528,96.66666667,0,0,0,1,15,2,20,0,642,644.6666667,645.3333333,643.6666667,645.3333333,643.6666667,648,648.6666667
